"date","year","month","day","weeknr","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","pm25","temperature","precipitation","mode","total_per_mode"
2020-10-05,2020,10,5,41,-12.36,-3.15441176470588,25.43,-15.2582417582418,-19.2983425414365,3.85314685314685,82,3.0325,10.6,106.6,"total_fahrzeug",1750358
2020-10-05,2020,10,5,41,-12.36,-3.15441176470588,25.43,-15.2582417582418,-19.2983425414365,3.85314685314685,82,3.0325,10.6,106.6,"total_oev",1427000
2020-10-05,2020,10,5,41,-12.36,-3.15441176470588,25.43,-15.2582417582418,-19.2983425414365,3.85314685314685,82,3.0325,10.6,106.6,"total_fuss",288254
2020-10-05,2020,10,5,41,-12.36,-3.15441176470588,25.43,-15.2582417582418,-19.2983425414365,3.85314685314685,82,3.0325,10.6,106.6,"total_velo",333159
2020-10-12,2020,10,12,42,-14.08,-2.46666666666667,19.4747474747475,-17.7857142857143,-17.767955801105,5.18881118881119,207,9.72273809523809,10.6,106.6,"total_fahrzeug",1835391
2020-10-12,2020,10,12,42,-14.08,-2.46666666666667,19.4747474747475,-17.7857142857143,-17.767955801105,5.18881118881119,207,9.72273809523809,10.6,106.6,"total_oev",1811000
2020-10-12,2020,10,12,42,-14.08,-2.46666666666667,19.4747474747475,-17.7857142857143,-17.767955801105,5.18881118881119,207,9.72273809523809,10.6,106.6,"total_fuss",300394
2020-10-12,2020,10,12,42,-14.08,-2.46666666666667,19.4747474747475,-17.7857142857143,-17.767955801105,5.18881118881119,207,9.72273809523809,10.6,106.6,"total_velo",404207
2020-10-19,2020,10,19,43,-17.1324503311258,-2.72727272727273,26.7070707070707,-17.8681318681319,-15.8674033149171,6.39160839160839,427,8.3211377245509,10.6,106.6,"total_fahrzeug",1791873
2020-10-19,2020,10,19,43,-17.1324503311258,-2.72727272727273,26.7070707070707,-17.8681318681319,-15.8674033149171,6.39160839160839,427,8.3211377245509,10.6,106.6,"total_oev",1722000
2020-10-19,2020,10,19,43,-17.1324503311258,-2.72727272727273,26.7070707070707,-17.8681318681319,-15.8674033149171,6.39160839160839,427,8.3211377245509,10.6,106.6,"total_fuss",305900
2020-10-19,2020,10,19,43,-17.1324503311258,-2.72727272727273,26.7070707070707,-17.8681318681319,-15.8674033149171,6.39160839160839,427,8.3211377245509,10.6,106.6,"total_velo",403264
2020-10-26,2020,10,26,44,-21.9072847682119,-2.27272727272727,5.6078431372549,-24.9285714285714,-16.3480662983425,8.30769230769231,591,5.45857142857143,10.6,106.6,"total_fahrzeug",1721867
2020-10-26,2020,10,26,44,-21.9072847682119,-2.27272727272727,5.6078431372549,-24.9285714285714,-16.3480662983425,8.30769230769231,591,5.45857142857143,10.6,106.6,"total_oev",1648000
2020-10-26,2020,10,26,44,-21.9072847682119,-2.27272727272727,5.6078431372549,-24.9285714285714,-16.3480662983425,8.30769230769231,591,5.45857142857143,10.6,106.6,"total_fuss",290711
2020-10-26,2020,10,26,44,-21.9072847682119,-2.27272727272727,5.6078431372549,-24.9285714285714,-16.3480662983425,8.30769230769231,591,5.45857142857143,10.6,106.6,"total_velo",351983
2020-11-02,2020,11,2,45,-26.6190476190476,-3.39393939393939,5.2,-27.0549450549451,-18.3149171270718,9.57342657342657,571,10.2539880952381,6.8,18.1,"total_fahrzeug",1673988
2020-11-02,2020,11,2,45,-26.6190476190476,-3.39393939393939,5.2,-27.0549450549451,-18.3149171270718,9.57342657342657,571,10.2539880952381,6.8,18.1,"total_oev",1596000
2020-11-02,2020,11,2,45,-26.6190476190476,-3.39393939393939,5.2,-27.0549450549451,-18.3149171270718,9.57342657342657,571,10.2539880952381,6.8,18.1,"total_fuss",289851
2020-11-02,2020,11,2,45,-26.6190476190476,-3.39393939393939,5.2,-27.0549450549451,-18.3149171270718,9.57342657342657,571,10.2539880952381,6.8,18.1,"total_velo",367275
2020-11-09,2020,11,9,46,-26.6,-1.89393939393939,19.979797979798,-23.543956043956,-17.3591160220994,9.12587412587413,740,14.1205654761905,6.8,18.1,"total_fahrzeug",1679923
2020-11-09,2020,11,9,46,-26.6,-1.89393939393939,19.979797979798,-23.543956043956,-17.3591160220994,9.12587412587413,740,14.1205654761905,6.8,18.1,"total_oev",1596000
2020-11-09,2020,11,9,46,-26.6,-1.89393939393939,19.979797979798,-23.543956043956,-17.3591160220994,9.12587412587413,740,14.1205654761905,6.8,18.1,"total_fuss",317846
2020-11-09,2020,11,9,46,-26.6,-1.89393939393939,19.979797979798,-23.543956043956,-17.3591160220994,9.12587412587413,740,14.1205654761905,6.8,18.1,"total_velo",406216
