"objid","zst_nr","zst_name","breitengr","laengengr","gemeinde","zst_klasse","kombiniert","art","anz_arme","anz_fahrst","zweck","typ","str_typ","eigentum","dat_inbetr","gueltig","link_ext","dbl_format"
"185",201526,"Weilstrasse 12 (Riehen)",47.589926,7.651024,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-09-15 02:00:00+02:00","ausser Betrieb",,"xlsx"
"186",201527,"Steingrubenweg 29/31 (Riehen)",47.589106,7.656972,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-15 02:00:00+02:00","ausser Betrieb",,"xlsx"
"193",201536,"Im Spitzacker 24",47.52797,7.598727,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-06-17 02:00:00+02:00","ausser Betrieb",,"pdf"
"195",201538,"Oberalpstrasse 12",47.548148,7.564495,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-05-20 02:00:00+02:00","ausser Betrieb",,"pdf"
"197",201541,"Flughafenstrasse 26",47.567394,7.57126,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-02-14 01:00:00+01:00","ausser Betrieb",,"xlsx"
"198",201544,"Fürstensteinerstrasse 63",47.537332,7.599648,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-02-07 01:00:00+01:00","ausser Betrieb",,"xlsx"
"202",201548,"Binningerstrasse (Zoo)",47.548588,7.582899,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-05-03 02:00:00+02:00","ausser Betrieb",,"xlsx"
"204",201550,"Inzlingerstrasse 327 (Riehen)",47.585354,7.671338,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-02-07 01:00:00+01:00","ausser Betrieb",,"xlsx"
"206",201552,"Rebgasse 5",47.560795,7.594217,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-01-17 01:00:00+01:00","ausser Betrieb",,"xlsx"
"212",201605,"Efringerstrasse 98",47.570901,7.596407,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-04-07 02:00:00+02:00","ausser Betrieb",,"pdf"
"213",201606,"Hirzbrunnenschanze 29",47.567088,7.616066,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-03-01 01:00:00+01:00","ausser Betrieb",,"pdf"
"216",201609,"Lothringerstrasse 63",47.5684,7.577359,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-03-15 01:00:00+01:00","ausser Betrieb",,"pdf"
